Name,Ticker,Sector,Subsector
Grifols S.A.,GRF.MC,Healthcare,Drug Manufacturers - General
Indra A,IDR.MC,Technology,Information Technology Services
Caixabank SA,CABK.MC,Financial Services,Banks - Regional
Repsol,REP.MC,Energy,Oil & Gas Integrated
Telefonica,TEF.MC,Communication Services,Telecom Services
Bankinter,BKT.MC,Financial Services,Banks - Regional
Amadeus IT Group S.A.,AMS.MC,Technology,Information Technology Services
Mapfre,MAP.MC,Financial Services,Insurance - Diversified
Industria de Diseno Textil SA,ITX.MC,Consumer Cyclical,Apparel Retail
Banco de Sabadell S.A,SAB.MC,Financial Services,Banks - Diversified
ArcelorMittal SA,MTS.MC,Basic Materials,Steel
Acciona,ANA.MC,Industrials,Engineering & Construction
Banco Santander,SAN.MC,Financial Services,Banks - Diversified
Enagás S.A.,ENG.MC,Utilities,Utilities - Regulated Gas
Acerinox,ACX.MC,Basic Materials,Steel
International Consolidated Airlines Group S.A,IAG.MC,Industrials,Airlines
Ferrovial S.A.,FER.MC,Industrials,Infrastructure Operations
Iberdrola S.A.,IBE.MC,Utilities,Utilities - Diversified
ACS Actividades de Construccion y Servicios SA,ACS.MC,Industrials,Engineering & Construction
Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,Financial Services,Banks - Diversified
Endesa SA,ELE.MC,Utilities,Utilities - Regulated Electric
Solaria Energía y Medio Ambiente S.A,SLR.MC,Utilities,Utilities - Renewable
Aena SA,AENA.MC,Industrials,Airports & Air Services
Cellnex Telecom SA,CLNX.MC,Real Estate,Real Estate Services
Cia de Distribucion Integral,LOG.MC,Industrials,Integrated Freight & Logistics
Fluidra,FDR.MC,Industrials,Specialty Industrial Machinery
Inmobiliaria Colonial SA,COL.MC,Real Estate,REIT - Office
Laboratorios Farmaceuticos ROVI,ROVI.MC,Healthcare,Drug Manufacturers - Specialty & Generic
Merlin Properties SOCIMI SA,MRL.MC,Real Estate,REIT - Office
Sacyr SA,SCYR.MC,Industrials,Engineering & Construction
Unicaja Banco SA,UNI.MC,Financial Services,Banks - Regional
Naturgy Energy Group SA,NTGY.MC,Utilities,Utilities - Regulated Gas
Corporacion Acciona Energias Renovables SA,ANE.MC,Utilities,Utilities - Renewable
Redeia Corporacion S.A.,RED.MC,Utilities,Utilities - Regulated Electric
