ticker,beta
GRF.MC,0.7062
IDR.MC,0.8588
CABK.MC,1.2257
REP.MC,1.0146
TEF.MC,0.837
BKT.MC,1.1781
AMS.MC,1.1865
MAP.MC,0.9444
ITX.MC,1.0116
SAB.MC,1.656
MTS.MC,1.3757
ANA.MC,0.9106
SAN.MC,1.5124
ENG.MC,0.5746
ACX.MC,0.9632
IAG.MC,1.6578
FER.MC,0.9351
IBE.MC,0.7026
ACS.MC,1.1006
BBVA.MC,1.4924
ELE.MC,0.685
SLR.MC,0.8527
AENA.MC,1.0259
CLNX.MC,0.5747
LOG.MC,0.4801
FDR.MC,0.8228
COL.MC,0.9465
ROVI.MC,0.4437
MRL.MC,0.9087
SCYR.MC,1.0363
UNI.MC,1.1036
NTGY.MC,0.7407
ANE.MC,0.7167
RED.MC,0.4302
^IBEX,1.0
PUIG.MC,0.6849
